查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
主品牌名称,流量排名,点击率(%),转化率(%)
同仁堂（TRT）,1,5.15,9.81
福东海（fudonghai）,2,7.70,21.79
内廷上用,3,3.20,7.00
北京同仁堂,4,4.32,7.65
Sunulos,5,0.79,2.23
香港大药房有限公司,6,2.41,7.86
桑加 1,7,2.14,12.79
神农金康（SHEN NONG JIN KANG）,8,4.25,6.61
香港大药房,9,1.65,4.43
北京同仁堂,10,7.94,7.35
南同四海,11,10.60,14.40
北京同仁堂,12,7.72,7.31
易卜生,13,2.02,3.95
半山农,14,3.81,13.31
江中,15,5.15,15.61
顾生堂,16,5.71,12.94
六养源,17,7.00,10.22
养益君（YANGYIJUN）,18,4.61,9.42
宁安堡（NINGANPU）,19,0.63,6.03
太守堂,20,9.47,11.39
九芝堂,21,3.14,11.00
仲岁堂,22,5.54,6.03
广禾堂,23,1.35,3.93
香港大药房,24,2.10,7.49
丙田,25,5.89,12.33
吾家余堂,26,6.22,7.59
昌济平,27,7.54,6.08
舒元康,28,9.21,10.35
橘州贡品,29,1.12,5.29
信盛堂,30,5.50,10.94
福曦堂,31,7.77,23.59
幸福疆至,32,3.98,10.24
安美奇（ALLNATURE）,33,0.74,0.12
椎名制药,34,2.42,2.89
奥祥堂,35,7.91,11.34
鲜蓉,36,1.41,1.38
五谷磨房,37,2.99,8.61
养庆堂（YANGQINGTANG）,38,5.30,7.97
宝元堂（BAOYUANTANG）,39,9.01,12.80
化小果,40,2.16,1.89
修年堂（XIUNIANTANG）,41,11.39,17.80
雷允上,42,5.29,16.87
新食道,43,0.59,1.33
金燕耳,44,2.69,9.66
张宝山,45,3.35,10.08
雪乾堂,46,0.70,6.27
南京同仁堂,47,4.10,4.07
六和乾坤,48,9.49,12.15
研磨匠,49,2.24,6.37
西麦,50,6.31,14.03
康琪爱倍,51,4.57,9.65
固本堂,52,2.08,13.94
笙而美,53,4.26,9.91
夕苇,54,2.40,3.06
老谷头,55,4.44,11.84
方家铺子,56,7.98,20.22
宫诺,57,1.32,2.44
怡福寿,58,6.52,11.11
觅玺,59,7.17,25.44
徽都中藥材（Huidu zhong yao cai）,60,2.11,9.54
参庆堂,61,13.94,17.96
益延膳,62,1.45,2.26
物择堂,63,5.04,4.08
杞里香（Qi Li Xiang）,64,2.81,21.09
倪海厦,65,1.90,1.69
通用,66,4.02,6.89
老金磨方,67,2.58,21.97
金枫露·生命黄金,68,0.70,0.00
蓉森林,69,0.96,2.24
兆丽健营养生活（Mega Max Nutrition Life）,70,1.09,0.55
大方天麻 DA FANG GASTRODIA ELATA,71,0.43,0.92
佰草令（BAICAOLING）,72,6.72,13.61
南京同仁堂,73,3.45,5.17
福记坊,74,7.70,8.70
国药,75,1.65,7.63
康创优品,76,1.88,0.00
严元堂,77,16.48,11.63
白云山,78,8.91,8.43
百华源,79,6.04,2.69
丽天承,80,10.87,13.38
南同九坊,81,12.89,13.49
虫小沐,82,2.31,2.23
怀先生,83,13.60,15.77
从容硬对（CongRongYingDui）,84,4.45,5.99
沪仁堂,85,3.50,1.69
L-CALORIE,86,8.78,6.23
healthdream,87,2.50,7.14
李时珍,88,4.03,7.14
泽泓斋,89,1.39,8.22
朕皇,90,5.25,13.26
渭水鸿（weishuihong）,91,6.06,12.47
金丝耳,92,3.21,5.23
庆祁堂,93,10.39,20.44
善固益,94,5.82,4.99
松山堂,95,0.91,6.67
敬贤堂（JINGXIANTANG）,96,9.55,12.87
雄在,97,6.49,5.29
通用,98,6.23,7.38
优美达（UMETA）,99,0.41,0.69
尔娅贝,100,1.29,3.13
墨源（moyuan）,101,7.71,14.11
初湛（Chuzhan）,102,2.27,1.59
仲药匠,103,1.98,7.73
漠北至尊,104,2.15,1.83
Aehig,105,0.58,1.56
味琳琅,106,2.78,1.64
百灵鸟,107,9.86,8.95
南京同仁堂,108,2.27,2.32
品自端,109,4.26,7.50
广济堂,110,3.43,9.36
祖医堂,111,0.59,2.13
康佩恩,112,10.99,9.65
康裕尊,113,6.60,8.80
喜纯,114,5.11,18.89
宜露,115,7.00,4.95
膳鼎祁,116,5.88,2.57
高原安,117,13.78,18.00
粮粹,118,6.59,8.25
韩太医,119,0.64,0.52
劲家庄（JinJiaZhuang）,120,14.98,14.08
御九华,121,5.77,3.97
泽信堂,122,3.58,6.56
通用,123,1.81,0.76
养年华,124,10.87,18.08
宝子乐,125,2.60,16.73
磊祥庄,126,5.68,9.19
冬海红,127,3.04,5.15
宝桑园（bosun）,128,3.41,6.49
徽京华尊,129,15.70,7.56
优卓,130,5.98,12.69
健颐年,131,5.65,4.80
赖家园,132,0.22,1.75
执中,133,2.10,0.18
舒宜滋,134,3.23,8.94
馋沐源,135,4.61,8.96
万太医,136,0.63,5.84
花姐食养,137,8.40,14.46
举铁先生,138,8.46,14.59
纽恩堂,139,11.80,14.96
九春堂（JIUCHUNTANG）,140,1.26,7.43
向小北,141,1.42,0.00
读山,142,1.10,0.90
怡美堂,143,9.07,12.41
文择轩,143,4.06,15.66
中华老字号,144,3.73,1.08
佑比恩,145,0.39,0.00
品粹堂,146,6.16,5.60
BM;波密天麻,147,2.26,1.13
野山秋,148,9.42,5.64
原生极,149,6.13,8.27
邮政农品,150,11.20,2.53
南方黑芝麻（NANFANG BLACK SESAME）,151,6.19,10.56
驼乡臻宝,152,3.65,4.70
牧蓉人,153,2.92,2.06
国药,154,7.30,6.47
美恩元,155,23.41,7.10
高原红土,156,0.51,1.10
糖亭,157,1.40,1.21
唯寻康,158,1.26,0.45
素养生活,159,7.40,22.63
东来美,160,11.16,13.99
仙农山,161,2.63,3.94
聚和泰,162,3.56,21.21
蚬壳胃散,163,2.35,4.46
极盏,164,2.46,13.03
知心奶奶,165,5.56,15.12
北同传奇,166,8.71,8.17
流贝,167,1.92,3.33
维特健灵,168,6.97,4.43
趣医森,169,6.60,14.55
花色堂,170,1.82,1.81
甘陇人,171,1.48,6.31
仁和,172,9.25,6.63
存轩堂,173,3.77,4.89
锟霖屹,174,3.12,1.75
张弓,175,4.20,0.49
青屏堂,176,5.61,15.14
BINKING,177,1.67,12.82
七補 七补,178,1.94,1.85
速立久,179,1.18,3.70
古方食养,180,1.79,2.45
璞匠,181,6.62,17.98
陇膳堂,182,2.04,4.85
精力沛（jinglipei）,183,1.43,10.22
珈祁堂,184,5.29,9.38
素臣（SUCHEN）,185,4.95,5.35
量和堂,186,12.18,9.33
仁景全,187,12.50,12.63
仰甘元,188,9.39,3.64
科瑞欣,189,0.67,5.95
绿金家园,190,5.95,5.82
世颐堂,191,1.61,5.56
杜材,192,3.16,4.38
聚修堂（JUXIUTANG）,193,9.08,10.80
其它,194,3.90,4.13
HOT,195,2.40,2.54
李时珍,196,8.15,14.85
贡苑,197,8.15,3.56
养氛,198,1.83,5.31
冠品园（guanpinyuan）,199,2.04,4.37
小葵花妈妈,200,6.34,5.64
鲜虞坊,201,3.42,3.23
禾韵春,202,0.80,0.00
弘礼堂,203,3.24,15.88
欣熠堂,204,2.59,2.24
怀山堂,205,6.93,8.79
京羿,206,8.07,10.07
磨坊奶奶,207,1.96,8.25
五红,208,10.75,8.29
美国（Naturade）,209,1.54,0.66
桂佰康,210,2.72,12.88
桑维劲,211,14.76,4.38
阳威堂,212,4.88,3.85
正野山,213,6.16,9.01
如是心,214,4.97,3.40
胡庆余堂,215,2.30,18.40
济生元（JSY）,216,2.59,10.08
忆味养,217,3.83,5.45
1,218,6.01,0.58
茯济堂（FUJITANG）,219,4.50,4.70
艾康沙棘,220,3.88,5.85
执雍堂,221,0.93,1.28
云上山溪,222,1.38,5.22
贵芸,223,3.10,11.28
AAZ,224,6.00,11.27
通用电气（GE）,225,6.15,1.43
汪特,226,3.85,0.33
1,227,2.81,0.00
粗栗树（CULISHU）,228,6.73,2.69
西域美农,229,8.98,27.58
乳峰山,230,2.49,0.54
元岐,231,0.91,4.48
说客,232,3.70,5.49
睿济堂,233,1.56,0.88
贵妃颜,234,0.89,4.69
仟农仟滋,235,6.01,25.59
南疆巴朗,236,6.41,11.66
广禾堂,237,0.61,2.38
口良,238,3.09,6.13
颜禾姬,239,11.99,1.83
滋时,240,1.15,7.79
庚寿堂,241,2.92,6.22
甄养官,242,1.20,5.13
金桔,243,5.79,4.96
川珍,244,6.70,15.42
随食养,245,7.02,3.92
七丹,246,0.59,0.00
希冬堂,247,18.12,6.14
着昂,248,1.29,3.90
观融堂,249,2.68,1.26
京膳力,250,4.85,12.46
靠农庄,251,8.90,8.19
景硕,252,2.78,4.38
康信制药,253,1.45,11.25
蜜响,254,10.23,25.09
宁之春,255,2.65,12.41
从容唯品,256,3.78,5.15
花小泡,257,3.27,19.76
谷诚假日,258,4.28,3.69
三京堂,259,4.53,1.75
敬修堂,260,3.69,5.95
poiiy,261,10.27,0.97
澳佳宝（Blackmores）,262,2.11,7.62
黔同济堂,263,5.11,10.67
百消丹,264,4.77,2.12
和道家,265,4.17,0.51
蕴青堂,266,1.22,17.24
享久,267,2.88,2.21
邢郡,268,11.19,7.10
边塞楼兰,269,2.14,3.03
碧观堂,270,0.97,0.00
齐玉堂,271,2.13,1.02
原方,272,7.59,4.01
崹艼,273,7.06,2.48
易天健,274,3.48,0.63
同仁堂,275,5.33,7.44
内廷上用至臻,276,12.62,2.50
施妍尼,277,3.54,6.45
脑白金,278,1.11,0.00
药济天下,279,4.03,5.75
源地珍,280,7.76,13.81
福茗源,281,6.52,10.39
欢诺多,282,6.12,5.00
润弘永堂（RunHongYongTang）,283,5.61,7.59
百合,284,5.54,14.59
味滋源,285,10.39,16.78
Layanana,286,2.40,0.00
有仁堂,287,4.18,4.60
佰利红叶,288,3.91,13.04
徽磬堂（HUIQINGTANG）,289,8.14,10.27
汇仁,290,1.07,0.00
雪甄汇（XUEZHENHUI）,291,4.48,3.98
五和医养堂,292,5.52,9.26
醉谷堂,293,3.18,2.42
霍芝上,294,7.02,7.66
跃莱牌,295,6.82,2.63
阡亩良茗（QIANMULIANGMING）,296,1.88,6.85
鹿九元,297,12.31,2.55
怀盛兴,298,1.93,1.37
李时珍,299,7.91,3.34
捷氏（Jesitte）,300,8.60,13.93
泰山无恙堂,301,2.23,2.41
化橘红,302,7.35,1.47
昊聚德,303,1.43,3.77
创帝,304,3.10,5.41
适元臣,305,4.07,6.21
老中醫,306,4.01,2.82
朕雄,307,7.55,1.13
疆蓉源,308,0.46,0.00
Swisse,309,1.46,2.00
东方红,309,4.12,0.71
华佗牌（Hwato）,310,4.27,9.72
修正,311,4.41,8.84
绿谷明珠（LUGUMINGZHU）,312,1.62,0.00
九物道（JIUWUDAO）,313,0.86,3.57
煜树,314,7.15,7.46
涌益堂,315,8.72,20.94
小羊森林,316,7.38,12.82
养正堂,317,7.69,4.51
鲁王,318,11.87,16.53
奇物,319,6.48,10.84
永富,320,6.30,14.36
庆献堂,321,5.95,19.13
陈李济,322,3.58,10.91
宛屿,323,2.40,12.33
绿的脉络,324,3.42,9.62
凰聚棘,325,5.49,0.60
王小珥,326,8.02,2.47
草木方（CaomuFang）,327,10.16,10.10
饶健安,327,1.42,4.65
合为养,328,3.68,3.60
可尝,329,2.28,1.47
苗御顺,330,1.05,0.00
京东兴堂,331,3.92,11.40
胃仙U（WEISEN-U）,332,3.24,0.00
鲜丰春,333,19.66,10.57
VICTORY WARRIOR,334,1.59,0.00
健养时佳,335,2.77,5.13
赖斯康（L-SKANG）,336,0.43,0.00
敖东,337,11.53,5.90
唯昱记,338,5.93,20.25
怀参源,339,3.76,13.59
呀啦嗦,340,5.04,6.52
华北制药（NCPC）,341,2.67,0.00
华佗,342,4.59,2.40
善维森,343,11.68,9.12
凤的,344,12.02,9.60
可益康,345,4.94,7.58
敏昂（M）,346,7.82,23.56
斛老仙,347,7.73,2.93
禧旗,348,1.25,0.00
沙漠仙草（SHAMOXIANCAO）,349,2.74,4.17
秦建国,350,3.71,1.03
熙溪,351,3.37,4.55
探爽,352,1.47,0.00
黑金刚,353,5.01,5.51
南京同仁堂,354,4.88,3.25
STRONG 204,355,3.65,10.87
天三奇,356,3.34,1.19
怀铁,357,4.15,3.85
汉谯堂,358,10.68,5.70
伊利,359,2.08,0.00
震伟堂,360,1.63,0.00
玲珑序,361,4.55,7.21
怡禧堂,362,2.23,1.85
松丁,363,15.72,3.18
苏根（SUGEN）,364,9.56,10.92
天山菇娘,365,0.68,0.00
南京同仁堂,366,2.70,0.00
百邦,367,5.78,5.19
仲景（ZJ）,368,3.68,2.35
慈诺,369,0.48,0.00
补养堂,370,11.97,9.49
怡品纯,371,3.25,12.16
华佗恩泽,372,10.00,8.41
立爱,373,3.69,3.61
五蜈蚣标（Takabb）,374,5.18,4.35
疆沃鲜,375,2.48,7.27
达心堂,376,4.71,4.81
益主角,377,8.26,21.79
张太和,378,2.64,0.00
美康堂,379,1.60,0.00
旌川,380,12.85,16.54
知安和,381,3.65,1.30
祥悦林,382,5.23,1.83
红膳房,383,10.42,7.83
沁昱堂,384,3.23,2.99
ZSS,385,28.16,8.76
仁心食匠,386,3.54,10.96
正安国,386,2.72,1.79
中华牌,387,20.24,3.41
橘星,388,3.25,4.55
东阿阿胶,389,3.38,2.94
述述云,390,3.98,11.25
南京同仁堂,391,5.35,10.28
欧扎克,392,6.98,13.67
玉元丹,393,8.30,4.24
以岭（YILING）,394,4.48,2.30
中澳菊花,394,3.24,6.35
沈家村（SHENJIACUN）,395,6.77,13.74
祁桂堂,396,2.64,3.92
存誉堂,397,2.34,2.22
达利园,398,4.17,5.00
味裕欣,399,2.04,0.00
东居堂,400,3.21,0.00
南京同仁堂,401,1.98,0.00
景鑫恒,402,2.80,0.00
伊禧堂（YIXITANG）,403,5.71,12.26
金木集团,404,6.39,6.78
卫元堂,405,9.53,1.15
御芝林,406,12.42,2.68
皇世医,407,7.42,6.02
慈诺（CINUO）,408,3.50,16.13
阳力元（yangliyuan）,409,4.70,0.00
羚锐（lingrui）,410,4.96,0.00
中宁枸杞,411,3.08,16.98
星禾堂,412,2.22,5.26
恒升（HS）,413,3.06,9.62
怀食坊,414,4.76,13.58
医济天下,414,8.88,3.31
广誉远,415,2.15,2.78
晓意,416,4.09,11.76
温舒方,417,9.71,5.00
芝药六堂,418,2.38,2.56
林宝仙珍（LINBAOXIANZHEN）,419,4.28,8.70
童涵春堂,420,7.13,0.00
寻山人,421,8.77,9.29
杞硕,422,5.76,15.22
采乐,423,3.21,1.96
御信堂,424,6.48,4.85
養瑞和,425,9.88,1.31
华喜达（HUAXIDA）,426,13.94,9.30
九珍堂,427,2.41,5.41
铂尚,428,9.19,5.00
红桃K,429,12.06,0.55
益乾,430,8.26,9.68
婷轻松,431,10.24,1.97
藤彦制药,432,1.96,3.45
同济堂,433,5.24,3.95
老中医,434,10.34,4.00
汉钰霖,435,7.94,0.88
仁迪,436,13.12,3.19
百日山,437,4.29,0.00
李时珍,438,2.35,6.06
泷御堂,439,2.64,8.11
熹梦圆,440,3.07,20.93
款,441,4.76,6.06
橘香世家,442,3.13,0.00
慢严舒柠（MINT）,443,8.53,17.09
贝因美（Beingmate）,444,7.82,0.00
百印堂,445,10.84,6.76
京都荟仁堂,446,5.51,4.00
滋熙堂,447,0.52,14.29
丽蜂堂（LIFENGTANG）,448,17.15,0.87
老农杞,449,3.97,1.89
冯了性,450,2.67,5.71
舒养初,451,14.05,7.82
公和堂,452,10.53,5.97
圣仁膏坊,453,11.67,3.38
百晓生,454,4.34,5.45
保元德,455,4.71,15.25
醉班河,456,3.61,0.00
仲景,457,9.62,5.08
唐玉（TANGYU）,458,4.34,5.66
采芝林,459,0.49,0.00
映棠,460,1.58,10.53
娃哈哈,461,3.58,0.00
玫西白,462,5.59,2.99
陇萃堂,463,3.54,4.76
九阳豆浆（Joyoung Soymilk）,464,10.81,21.09
黑骨藤,465,10.82,3.17
新养集,466,2.16,20.00
万般宜,467,12.44,16.67
赤康,468,51.30,8.98
赫赞堂,469,0.80,0.00
儿济健康,470,3.10,5.71
香丹清,471,3.73,0.00
整康,472,5.28,6.78
Bio Island,473,1.62,0.00
专业药房（SPS+）,474,13.62,5.96
宜安堂,475,4.52,2.00
翎芸,476,2.09,4.35
山王果,477,13.58,2.01
善医五行,478,7.49,0.00
千方佰草集,479,9.25,12.87
粮讯,480,1.48,0.00
严熙堂,481,4.44,6.25
南京同仁堂,482,4.20,2.22
华润三九,483,8.14,6.90
同安堂,484,6.75,2.78
太仲堂,484,5.06,5.56
完美（PERFECT）,485,3.57,5.26
RRVM,486,20.45,8.80
安结生,487,18.57,3.59
园中宝,488,4.92,17.65
维乐熙,489,6.20,7.81
易德安,490,5.93,1.67
滋膳力,491,9.11,4.35
天龙峰,492,6.55,1.52
宣珍堂,493,1.39,7.14
国药药材 SINOMED MEDICA,494,13.46,10.53
万宁（mannings）,495,2.84,0.00
枣能,496,0.41,0.00
木兰拾遗,497,6.87,4.62
鹤年堂,498,20.02,4.23
华佰医,499,2.23,4.76
林御医,500,2.98,0.00
山滋情,501,8.75,4.88
逍遥安,501,0.85,12.50
静怡安,502,1.28,0.00
颜渝,503,3.71,5.88
华佗足迹,504,3.06,7.14
张国周,505,4.40,2.50
北京,505,0.44,0.00
福尔,506,9.92,5.56
卫芝林,506,5.84,1.89
桐花堂,507,5.75,7.69
扁治药业,508,18.03,18.40
奈氏力斯,509,0.66,0.00
九抋堂,510,8.80,7.59
元夕颜,511,9.96,4.49
京辉,512,2.61,21.74
善严康,513,6.41,1.79
GEETOP,514,2.64,0.00
伍福家园,515,7.64,0.00
丰义,516,5.26,2.22
葵花,517,3.17,11.11
京都安顺堂,518,13.41,14.04
五立,519,10.12,4.71
好恋你,520,6.46,3.70
正玺堂,521,4.92,7.32
老中医（LAOZHONGYI）,522,3.97,9.09
婉明,523,4.51,0.00
李时珍,524,4.66,7.89
纤姿燃版,525,1.12,0.00
欧玺顿,526,13.00,7.69
月娇娘,527,1.63,0.00
PESK,528,17.22,8.15
康佑实,529,16.26,15.08
小葵花妈咪爱,530,6.50,4.00
威力臣,531,9.99,2.63
宫廷序,532,0.53,0.00
乐钦,533,8.63,9.23
南京同仁堂,534,9.63,4.17
康恩贝,535,3.13,0.00
L,536,1.78,0.00
茵佳润,537,4.82,5.71
智力冠,538,13.83,8.00
雪莲花,539,11.10,5.00
白兰氏（Brands）,540,6.26,2.22
华药祖,541,4.47,0.00
绪季(XUJI),541,8.24,0.00
陌上花开,542,1.41,10.00
穆拉德（Ferid Murad）,543,5.08,0.00
道养智,544,3.97,0.00
伴悦行,545,2.72,5.26
益民堂,546,8.61,3.33
雅培（Abbott）,547,1.74,0.00
洗象堂,548,12.94,13.48
ESKIE,549,15.87,5.50
益今养,550,11.22,11.69
21金维他,551,13.20,5.56
金蓓高,552,9.72,1.52
禾博尔,553,4.31,6.90
九芰堂,554,5.36,0.00
邓老金方,555,2.99,0.00
豪药,556,1.51,0.00
澜锐堂,557,4.87,3.13
宫延楼,558,3.07,0.00
仙芝楼（XIANZHILOU）,559,2.61,0.00
方回春堂,560,5.73,0.00
信任堂,561,5.43,5.71
大岳仙山,562,2.34,0.00
金枫露,562,7.01,2.22
御谷集,563,3.63,4.35
上水井,564,4.91,3.23
太和洞,565,3.81,4.17
湘尔康,565,1.11,0.00
乐白白,566,2.74,11.76
汤臣倍健（BYHEALTH）,567,1.46,0.00
麟养堂,568,2.27,0.00
徽天赐,569,3.92,0.00
草木清源,569,14.85,14.29
乐赛仙,570,4.58,0.00
宜享健康,571,20.03,13.11
季择（JIZE）,572,8.55,0.00
ISDG,573,3.14,5.26
HealthyCare,574,2.67,0.00
华佗足迹,575,3.01,0.00
尚医铭草,576,10.85,1.56
涅都,577,2.89,0.00
淳滋堂,578,2.91,35.29
水木泰和,579,4.97,0.00
姜来无忧,580,2.75,0.00
美媛春,581,1.91,9.09
益仁春,581,5.73,3.03
迪美兰（DIMEILAN）,582,8.26,2.13
国药健康,583,3.91,0.00
湘锦堂,584,16.42,12.22
李良济,585,3.69,0.00
信邦,586,5.61,0.00
旺粹,587,4.50,0.00
瑞福生,588,2.45,0.00
午时药业,589,13.96,1.37
GYJKGL,590,2.50,7.69
太阳神（APOLLO）,591,6.94,2.78
金鸡,592,6.77,2.86
帮,593,5.65,0.00
桃里溪,594,2.55,0.00
御纤颜,594,5.69,0.00
合清凤,595,22.79,2.59
DAKN,595,27.90,7.04
香港大药房,596,5.91,13.33
天喜堂（Tin Hee Tong）,597,9.52,0.00
喜纯,598,13.12,3.03
宾皇,598,3.18,0.00
金豆芽,599,4.40,0.00
百芝堂,599,1.00,0.00
三麦轻,600,8.65,2.33
健美生（Jamieson）,601,1.83,0.00
滨药,602,13.29,3.08
WARSA,603,0.61,0.00
三九,604,2.48,0.00
关德兴,604,1.24,0.00
岷杞阁,605,7.68,2.70
杏林草堂,606,4.57,4.55
PIPING ROCK,607,1.72,0.00
全倍健,607,3.43,0.00
因心堂,607,10.09,17.02
五塔标,608,9.48,4.55
鼎芝毅,609,10.39,4.17
养生堂,610,2.39,0.00
山林百草（SHANLINBAICAO）,611,7.44,5.88
WONDERS KELLETT FILMS,611,3.94,0.00
万景石岩,612,6.14,3.57
金木,613,6.15,3.57
SLEMA,614,11.89,0.00
皇菴堂（Huang An Tang）,615,15.11,5.88
日臻向膳,616,0.89,0.00
圣曦和,617,3.37,0.00
五谷畅享（WUGUCHANGXIANG）,618,2.70,16.67
Life Space,619,2.05,0.00
纯窝,620,6.98,10.00
华大营养（BGI•Nutri）,621,0.70,0.00
中养初,622,0.94,0.00
香港大药房,623,4.25,0.00
雅丽百花缘,624,1.65,0.00
美林（Mellin）,625,7.14,0.00
九春制药,626,8.15,2.94
皇汉堂（KOKANDO）,627,6.97,6.90
福记坊,628,2.65,0.00
御君享,629,2.43,10.00
西知堂,630,4.17,11.76
云南白药（YUNNANBAIYAO）,631,2.96,0.00
苗芝宝,632,9.63,0.00
江绿,633,7.94,9.38
百婉集,633,8.68,2.86
山姆 SANM,634,1.25,0.00
楼上,635,0.50,0.00
天天轻,635,1.26,0.00
碧生源,636,2.02,12.50
珍缘堂,637,5.06,10.00
草珊瑚,638,3.81,6.67
品吉味,638,9.39,0.00
阅鉴本草,639,0.51,0.00
四宝,640,5.63,9.09
绿澳佳,641,14.10,0.00
拜耳（BAYER）,642,7.49,3.45
淳芝宝,643,1.84,0.00
宝芝林,644,1.84,14.29
古苒,644,4.21,18.75
哈药,645,1.86,0.00
修正,645,0.80,0.00
骉祥,646,2.67,0.00
洑记,647,8.89,12.12
广益,648,7.03,3.85
紫一（ZINGY）,649,0.82,0.00
乐元升高,650,2.73,10.00
百年堂,651,9.62,2.86
京丈,652,62.71,5.73
力存,653,3.90,0.00
恒瑞,654,7.58,0.00
磨坊奶奶,655,1.13,0.00
佰家珍品（BAIJIA ZHENPIN）,656,2.55,0.00
冯小二 冯 二,656,4.25,0.00
唯源素,657,3.14,9.09
丽美思,658,9.46,3.03
瑞倪维儿（Rinawale）,659,5.17,0.00
涵鹭,660,4.32,6.67
香港大药房,660,3.75,0.00
轻适康,661,0.58,0.00
氏蜂社,662,6.47,9.09
承庆堂（chengqingtang）,663,5.62,21.05
千翁堂,664,2.98,20.00
尔娅贝,665,3.58,0.00
金诃,666,11.68,7.69
紫鑫,667,3.00,0.00
禾月礼,668,3.31,0.00
国康大 SINO HEALTH,669,4.28,0.00
昆仑牧场（KUNLUN PASTURE）,670,5.21,0.00
泽和堂,671,6.77,9.09
御衙,672,10.63,17.65
Sunoyar,672,5.00,0.00
谯景,673,4.70,0.00
广药白云山,674,16.72,0.00
普丽普莱（Puritan's Pride）,675,2.22,0.00
中科,676,13.78,0.00
小葵花（XIAOKUIHUA）,677,5.28,0.00
东花姬,677,14.19,11.63
好立美（holybaby）,678,1.66,60.00
阿苏勒,678,18.87,1.75
流传金方,679,2.01,0.00
汤膳师,680,1.69,0.00
享久,681,2.72,12.50
鑫全康,682,5.94,11.76
药都回春堂,682,5.24,20.00
木月古余堂,682,1.40,25.00
智力,683,4.58,7.69
