查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
亳汉堂,684,6.38,5.56
白云山花城,685,2.51,14.29
宏济堂,686,1.82,20.00
六养（LIUYANG）,686,32.48,11.24
亳泽堂,687,2.93,0.00
奇鹤,687,1.47,0.00
君汉药业,687,1.47,0.00
万通,688,5.93,6.25
和记黄埔,689,3.36,0.00
ERIC FAVRE,689,1.12,0.00
斯可莱（SCOLA）,690,3.40,0.00
禾田兴,690,7.17,10.53
三也真品,691,1.52,0.00
忆江南,692,18.63,6.12
福赐德,692,6.46,5.88
单济堂,693,10.73,3.57
南京同仁堂,694,3.47,11.11
河西女子（HE XI NV ZI）,695,2.71,0.00
驼闻天下,695,3.10,0.00
马百良,696,6.61,5.88
李万山,696,8.17,0.00
杏林,697,17.65,6.67
张家界,697,0.39,0.00
正橘堂（ZHENG JU TANG）,698,3.16,0.00
正安堂（CHING ON TONG）,699,2.38,16.67
何济公,700,1.20,0.00
怀庆堂,701,3.23,37.50
BLACK,701,2.42,0.00
自菅,702,0.40,0.00
益嘉适,703,2.85,0.00
艺佰岁,703,0.41,0.00
柏营堂,703,9.35,0.00
每日乔安,704,1.22,0.00
妍圣元 YAWHOYLO,705,9.02,0.00
东方格伦,706,11.11,0.00
享久,706,2.06,0.00
中盛,707,2.07,0.00
朗迪,708,5.86,7.14
舒嗖 RELAXSOON,708,1.67,0.00
古小圆,709,3.36,12.50
仙余粮泰尚黄,710,3.38,0.00
云露源,711,2.12,0.00
昕品方,712,3.85,0.00
医维他,712,3.85,0.00
九精哥,712,5.98,14.29
自然之宝（Nature's Bounty）,713,0.86,0.00
同益堂,713,3.45,0.00
御养师,714,3.46,0.00
康是美,714,32.47,14.67
橘小陌,715,1.74,0.00
伟博,716,0.00,0.00
葵花,717,2.20,0.00
恩久爱（enjoy）,717,2.64,0.00
内廷上用茶房,717,5.29,16.67
碧生源,718,7.08,0.00
摩音,719,2.22,40.00
盈养记忆,719,2.67,0.00
沛元,720,4.46,0.00
乐氏,720,14.73,9.09
千方百剂,720,12.95,0.00
北大荒,721,6.76,6.67
仁济堂（renjitang）,722,3.17,0.00
远方的梦想 YUANFANG DREAM,722,0.90,0.00
能量藤,722,15.38,26.47
六神,723,4.15,11.11
养森,723,6.91,0.00
燕之坊,724,2.31,0.00
晶草,725,8.37,11.11
疆农源,726,2.34,0.00
妈咪爱（oupai）,727,5.63,0.00
青腾,727,11.74,0.00
天狮,727,0.94,0.00
NOOBO,727,0.47,0.00
湘雅康尔福,727,9.39,0.00
天寿堂（TIEN SAU  TONG）,728,3.32,0.00
仙艾,728,3.32,0.00
公牛牌（BULL HEAD BRAND）,728,2.84,16.67
鑫康宝,729,31.40,0.00
益节（Move Free）,730,3.88,0.00
问慈堂,730,3.40,0.00
初元,731,3.90,0.00
仙鹤大叔,731,8.29,5.88
郢天,732,2.48,0.00
川宁（TWININGS）,733,2.49,0.00
冈田药业,733,1.49,0.00
赖李园,734,2.51,0.00
闫济堂（YANJITANG）,734,1.01,0.00
双迪,734,4.52,0.00
延本方,734,5.03,0.00
培季堂,734,6.03,0.00
富山薬品,735,0.51,0.00
ZSS,735,6.09,0.00
POQQ,735,3.05,0.00
小葵花,736,4.59,0.00
蒙牛（MENGNIU）,737,3.59,0.00
头牌,737,14.36,0.00
皇养堂,737,6.67,0.00
雪丹,738,5.18,20.00
待见,739,15.51,0.00
锦恩记,740,21.74,27.50
台乌（TAI WU）,741,4.37,0.00
纽斯康（nuscan）,742,7.69,0.00
金子,743,2.21,0.00
敖东,744,1.11,0.00
伊紫家,744,0.56,0.00
御坊堂（YUFANGTANG）,745,6.15,0.00
其他,745,2.23,0.00
国强,746,3.37,16.67
安利（Amway）,747,2.26,0.00
依马打,748,7.39,7.69
中国药材（SINO-TCM）,748,3.98,0.00
亳药古韵,748,1.14,0.00
源川堂,748,5.68,0.00
妙龄轻,749,2.86,0.00
马世良堂,750,5.75,0.00
金波士,750,1.15,0.00
亳赋堂,750,1.15,0.00
宝元堂,751,4.09,0.00
Inne,752,0.59,0.00
五谷新势力,752,2.94,0.00
绿金家园,753,6.51,9.09
百年医仁,753,7.69,0.00
魏仁堂,754,5.99,10.00
靠山庄,755,3.01,0.00
颂潮,755,4.22,0.00
岷州佰铭,755,0.60,0.00
山本漢方製薬株式会社,756,3.66,0.00
南京同仁堂,757,0.00,0.00
VLIDATE,757,1.85,0.00
TeaLife,758,7.50,0.00
康美,759,12.58,45.00
黄金海岸（GOID GOAST）,759,2.52,0.00
彤可欣,759,6.92,0.00
冠膳,759,6.29,0.00
万松堂（wansongtang）,760,6.96,9.09
古方,761,10.19,0.00
得久堂,761,22.29,2.86
庐奉,762,2.56,0.00
东方慧医（DongFangHuiYi）,763,12.26,5.26
茵宝莱,763,1.94,0.00
紫鑫名方,763,16.77,0.00
广药,764,7.14,0.00
CARLYLE,764,2.60,0.00
初仁堂,765,1.99,0.00
皖灿堂,765,1.32,0.00
SorLife,766,1.33,0.00
药济康（YAOJIKANG）,766,4.00,16.67
轩庆,767,4.73,0.00
邦院长,767,7.43,9.09
鸿恩本草,768,0.68,0.00
素秀臣氏,768,0.68,0.00
藏蜜,769,2.05,0.00
沛可（Payke）,770,6.90,20.00
替恩替,770,2.76,0.00
艾儿,771,2.80,0.00
仙姿果,771,2.10,0.00
白云山星群,771,2.10,0.00
力,772,2.11,0.00
TEAPIGS,773,2.13,0.00
施领膳全,773,0.71,0.00
泉元生,773,0.71,0.00
瑾方,773,3.55,0.00
忘岁山,773,9.93,21.43
朵太医,773,4.96,0.00
利君天使,774,5.71,0.00
益生元,774,2.14,0.00
小林制药（KOBAYASHI）,775,9.35,0.00
元大昌,775,9.35,23.08
平利绞股蓝（PINGLI GYNOSTEMMA）,776,0.72,0.00
Weider Prime,776,1.45,0.00
徽胜,776,2.17,0.00
三九医药 999,777,2.92,0.00
AJS Nutrition,777,6.57,0.00
国修堂,777,9.49,0.00
汉草玖宝,778,5.19,0.00
Fairvital,778,1.48,0.00
千吾堂,778,17.04,4.35
Little Remedies,779,8.96,8.33
滋品物语（zipinwuyu）,779,1.49,0.00
和治（HEZHI）,780,7.52,0.00
TOPPA,781,1.52,0.00
witsBB,781,0.76,0.00
徽药居,781,1.52,50.00
诺特兰德,782,4.58,0.00
吉斯琪,783,3.85,0.00
酸友,783,1.54,0.00
五洋丁,783,8.46,0.00
善师堂,783,10.77,21.43
巧舒宁,784,4.65,0.00
体恒健,785,17.19,0.00
凯镛,786,5.51,14.29
久降堂,786,5.51,0.00
光点,786,0.00,0.00
VENTRIFIT,787,2.38,0.00
御晴堂,787,0.79,0.00
多燕瘦,788,8.80,9.09
长食坊,789,4.84,0.00
东方（DONGFANG）,789,3.23,0.00
鹿藤,790,5.69,0.00
妮罗时代,790,0.81,0.00
中国药材,791,9.02,18.18
庚义堂,792,0.83,0.00
黄秋葵牡蛎,792,9.92,16.67
华佗仁善,792,4.96,16.67
黄金搭档,793,4.17,20.00
榮昌製葯,794,9.24,0.00
力克,794,5.88,0.00
康中尊,794,15.97,0.00
美芝仟,795,0.00,0.00
BLOOMCHIC,795,5.08,16.67
南京同仁堂,796,11.11,0.00
双11,797,1.72,0.00
仁和匠心,797,0.86,0.00
成长快乐,798,2.61,0.00
敖东城,798,3.48,0.00
YOUTHIT,798,0.87,0.00
金赐力,798,6.96,0.00
颜禾姬,798,17.39,0.00
如瘦,799,6.14,0.00
百年溪域,799,7.89,0.00
歌曼丽,799,19.30,0.00
协和,799,7.02,12.50
怀锦地,799,4.39,0.00
华北制药,799,7.02,25.00
虫恋草,799,7.02,0.00
京都念慈菴,800,2.65,33.33
华佗,800,6.19,0.00
南京同仁堂,800,1.77,0.00
鲜女人,800,4.42,0.00
国药药材,800,0.88,0.00
生加倍,801,11.61,0.00
清清本草坊,801,7.14,0.00
滋得洛夫（ZDOROV）,802,11.71,0.00
春锦秋鲤,802,1.80,0.00
石药,803,0.00,0.00
江中猴姑,803,3.64,0.00
NatureU,803,0.91,0.00
老农田,803,6.36,0.00
绿业 ,804,8.26,11.11
联合邦利（UNB）,804,1.83,0.00
宝芝林,804,5.50,0.00
智明聪,804,1.83,0.00
托康,804,21.10,0.00
魔音（MOYIN）,805,2.78,0.00
朵太医,805,7.41,0.00
多合,806,3.74,0.00
保中寶（BAOZHONGBAO）,806,1.87,0.00
世纪青青（SHIJIQINGQING）,806,2.80,0.00
吉萃元（JICUIYUAN）,806,3.74,0.00
芙补堂,806,11.21,0.00
怀顺堂,806,2.80,0.00
狼戈,806,2.80,0.00
诺瑞特,807,4.72,0.00
欢喜客,807,2.83,0.00
中粮,808,5.71,0.00
康兮寿兮（kangxishouxi）,808,12.38,0.00
筱木屋,808,7.62,0.00
杜燕堂,808,32.38,0.00
荟元堂,809,1.92,0.00
金七,809,1.92,0.00
艾瑞万,809,2.88,0.00
瑾方,809,8.65,0.00
怀知堂,810,11.65,25.00
南京同仁堂,810,12.62,0.00
膳必选,810,6.80,14.29
AQ,811,6.86,0.00
鹰牌（EAGLE'S）,811,3.92,0.00
张仲景,811,10.78,0.00
正德山,811,1.96,50.00
荣品源,812,2.97,0.00
英吉利（YingJiLi）,812,11.88,0.00
宝芝林（Pastoral）,812,3.96,0.00
天桂（TIANGUI）,812,1.98,0.00
仙叶谷,812,6.93,0.00
科克兰（KirkLand）,813,0.00,0.00
巧贝冠,813,9.00,11.11
OVZ,813,6.00,0.00
鹿仁源,813,24.00,8.33
一家人,814,6.06,0.00
康麦斯,814,6.06,0.00
御参坊（YuShenFang）,815,3.06,0.00
EZZ,815,0.00,0.00
GroupCare,815,55.10,1.85
奈力士,816,6.19,0.00
奇易时光,816,23.71,0.00
资养天下,816,1.03,0.00
爱思安,817,0.00,0.00
玺尊龙,817,0.00,0.00
绿养源,818,0.00,0.00
寿东方,818,4.21,0.00
SOTYA HEALTH SUPPLEMENTS,818,6.32,0.00
旭福（SCHIFF）,819,0.00,0.00
康露,819,14.89,0.00
悦优雅（IEOOYA）,819,8.51,12.50
国药特医,819,5.32,20.00
Lactrase,820,5.38,20.00
长甲百消丹,820,9.68,0.00
颐朴源,820,12.90,0.00
花允棠,820,21.51,0.00
S,821,3.26,0.00
Pedialyte,821,2.17,0.00
百果坚坚,821,3.26,0.00
广益森,821,3.26,0.00
香畴,822,7.69,0.00
芙顺堂,822,3.30,0.00
国药药材,822,0.00,0.00
瑞年（Real Nutri）,823,4.44,0.00
参灵草,823,3.33,0.00
拜特,823,7.78,14.29
FINE JAPAN,823,0.00,0.00
药知堂,823,3.33,0.00
活力达（forrida）,824,4.49,0.00
好健康（GOOD HEALTH）,824,0.00,0.00
双虾大东亚,824,0.00,0.00
烟立克,824,0.00,0.00
知御堂,825,9.09,0.00
尔之洋,825,5.68,0.00
国药工业,826,14.94,0.00
喜纯,826,5.75,20.00
盒补补,827,4.65,0.00
颜九真,827,27.91,8.33
迪巧,828,1.18,0.00
中智,828,4.71,0.00
容启堂,828,17.65,6.67
勃天下（BOTIANXIA）,829,0.00,0.00
雄起,829,1.19,0.00
金预康,829,11.90,0.00
正琯 正,829,3.57,0.00
固信堂,829,3.57,0.00
益可劲,830,0.00,0.00
李时珍,830,6.02,0.00
格宁大,831,0.00,0.00
诺奥（NOW）,832,3.70,0.00
潘高寿,832,6.17,0.00
双莲（Twin Lotus）,832,1.23,0.00
合百草（hebaicao）,832,3.70,0.00
WUEIS,832,0.00,0.00
花天谷,832,14.81,8.33
海王金樽,833,5.00,0.00
千林（TREERLY）,833,0.00,0.00
复真,833,5.00,0.00
百合康（BAIHEKANG）,834,5.06,0.00
邦瑞特（BANGRUITE）,834,1.27,0.00
南京同仁堂,834,1.27,0.00
咱家一品堂,834,3.80,33.33
娥罗讷英（Oronine）,835,10.26,12.50
片仔癀（PZH）,835,3.85,0.00
坚强,835,7.69,16.67
科明（KEMING）,835,1.28,0.00
北,836,9.09,0.00
茗谷九珍,837,1.32,0.00
七日畅体,837,0.00,0.00
麦金利（MCKIN）,838,4.00,0.00
喜宝（HiPP）,838,4.00,0.00
恩威万,838,1.33,0.00
单贝,838,6.67,0.00
国药草本,838,2.67,0.00
盛天蓉,838,13.33,0.00
御药济仁,839,0.00,0.00
三橡树,840,2.74,0.00
LINDBERG,840,1.37,0.00
轩泰医,840,5.48,0.00
龙巢（Dragonest）,841,2.78,0.00
极态,841,8.33,0.00
享久,841,2.78,0.00
爱仁康（IRENKON）,841,5.56,0.00
珍迪,842,4.23,0.00
绿叶,842,1.41,0.00
弘盈堂,842,9.86,0.00
比戈,843,5.71,0.00
泰谦堂,843,10.00,0.00
绽妍（JUYOU）,843,2.86,0.00
CELLERATOR,843,5.71,0.00
天蓉一号,843,1.43,0.00
富士（FUJIFILM）,844,7.25,0.00
尚八仙,844,0.00,0.00
BAMIT,844,2.90,0.00
DWDS,844,1.45,0.00
夜战神,845,1.47,0.00
白凤村,845,5.88,0.00
馨悠洁,845,0.00,0.00
南同绿金,845,1.47,0.00
米诗萱,845,0.00,0.00
巴马,846,13.43,33.33
瑞年,846,8.96,0.00
timeshop,846,0.00,0.00
轻舒朵,846,8.96,0.00
艾力妍色,846,26.87,5.56
芝许堂,846,7.46,0.00
金源,847,15.15,0.00
黄道益,847,0.00,0.00
SabSimplex,847,1.52,0.00
明一（wissun）,848,3.08,50.00
药辉堂,848,3.08,0.00
鹤古安,848,4.62,0.00
长通,849,6.25,0.00
本草制药,850,0.00,0.00
鲍记,850,0.00,0.00
颐方集,850,4.76,0.00
贺坤堂,850,25.40,0.00
同芙,850,1.59,0.00
杏宝林,850,4.76,0.00
健之佳,851,0.00,0.00
福牌阿胶,851,1.61,0.00
锦,851,0.00,0.00
健安喜（GNC）,852,0.00,0.00
安奇,852,6.56,0.00
克刻,852,8.20,0.00
缘来花开,852,0.00,0.00
三也真品,852,4.92,0.00
仲景堂,852,0.00,0.00
健普诺,852,0.00,0.00
健视佳,853,0.00,0.00
清适康,853,1.67,0.00
白云山,854,1.69,0.00
海康保健,854,1.69,0.00
雀巢（Nestle）,855,3.45,0.00
瑞太医,855,0.00,0.00
金牧初,855,20.69,16.67
盛力源（shengliyuan）,856,0.00,0.00
人字牌,856,1.75,0.00
姚本仁,856,0.00,0.00
藏虎哥,856,7.02,0.00
德承铭,856,7.02,0.00
用,857,0.00,0.00
百橘源,857,16.07,0.00
漢和銳興,857,0.00,0.00
东安太 精品,857,10.71,16.67
新稀宝,858,1.82,0.00
美澳健（MEIAOJIAN）,858,1.82,0.00
正官庄（korean red ginseng）,858,1.82,0.00
国药集团,858,3.64,0.00
康恩贝,858,0.00,0.00
至言良食,858,1.82,0.00
香港久兴（hongkongjiuxing）,859,1.85,0.00
百合康（BAIHEKANG）,859,7.41,0.00
美乐家,859,11.11,0.00
膳力多,859,9.26,0.00
创喜,860,9.43,0.00
仲景养生坊,860,5.66,0.00
舒所（SHUSUO）,860,9.43,0.00
寇元堂,860,1.89,0.00
海王,860,3.77,0.00
NATUREBELL,860,5.66,0.00
云芙阳,860,28.30,13.33
京都（jingdu）,861,5.77,0.00
太极,861,1.92,0.00
和汉（WAKAN）,861,1.92,0.00
黑马,861,1.92,0.00
千极药业,861,1.92,0.00
双心（Doppel herz）,862,0.00,0.00
麦金利,862,5.88,0.00
OIMG,862,0.00,0.00
康嘉诺,862,9.80,0.00
青颜博士（YOUNGDOCTOR）,862,1.96,0.00
强雪,862,0.00,0.00
ZHEN,862,11.76,0.00
自然生命（Natural life）,863,0.00,0.00
海王（neptunus）,863,0.00,0.00
白金油,863,0.00,0.00
Sanada Seiko,863,2.00,0.00
蛮大仁,863,8.00,0.00
品庆,863,2.00,0.00
燕广韵,863,6.00,0.00
金奥力,864,0.00,0.00
斯利安,864,2.04,0.00
亦舒堂,864,8.16,25.00
亚宝,864,4.08,0.00
一心堂,864,0.00,0.00
Doctor's best,864,4.08,100.00
百年福,864,0.00,0.00
脾牛,864,6.12,0.00
豫简,864,6.12,0.00
FoouBody,864,0.00,0.00
资膳堂,864,10.20,0.00
资御医,864,8.16,25.00
草本,865,4.17,0.00
福曦堂雪菊,865,4.17,0.00
润滋林,865,0.00,0.00
修洛恩,865,0.00,0.00
KORI,865,4.17,0.00
度俞,865,0.00,0.00
昂本,865,10.42,0.00
金赛,866,6.38,0.00
乐笙记（LESHENGJI）,866,8.51,0.00
SOLGAR,866,8.51,0.00
御手匠心,866,10.64,60.00
相伴宜久,866,14.89,42.86
禹品华光,866,0.00,0.00
医圣李时珍,866,2.13,0.00
J.TOP,866,4.26,0.00
槃世富贵 人参,866,0.00,0.00
乐家老铺,867,0.00,0.00
元秘-D（WONBI-D）,867,0.00,0.00
健洛特（HEALTH LOTT）,867,10.87,0.00
医丝塔,867,2.17,0.00
TRU NIAGEN,868,0.00,0.00
马晓年,868,4.44,0.00
康璐坊,868,4.44,0.00
贝乐康,868,15.56,0.00
中科,869,6.82,0.00
济州岛（THE SUN JEJU SINCE 1955）,869,4.55,0.00
金日,869,0.00,0.00
祁晓风,869,2.27,200.00
羽心堂（YUSUMTONG）,869,6.82,0.00
白云山星群,869,0.00,0.00
佰佳淇味,869,0.00,0.00
清心堂,870,0.00,0.00
Health Balance,870,0.00,0.00
后爱,870,0.00,0.00
泰开尔御品膏方,870,0.00,0.00
極尚（GS）,870,0.00,0.00
红颜生,870,0.00,0.00
正北,871,11.90,0.00
Nuskin,871,2.38,0.00
素森康（SIS CARE）,871,7.14,0.00
小杉命力,871,2.38,0.00
权新,871,4.76,0.00
益从容（Confidence in live）,871,0.00,0.00
润馨堂,871,21.43,33.33
资药堂,871,7.14,0.00
森山,872,4.88,0.00
信龙,872,2.44,0.00
蚂蚁农场,872,0.00,0.00
粮药,872,21.95,0.00
壹谷良坊,872,2.44,0.00
晓楚仁,872,9.76,0.00
垆宝阁,872,7.32,0.00
同薏堂,872,2.44,0.00
岷乡宝,872,7.32,33.33
巢之安,873,7.50,0.00
名实（medtek）,873,22.50,0.00
生命健（LIFE VIGOR）,873,0.00,0.00
Sudoku,873,0.00,0.00
i 棒,873,2.50,0.00
绿金家园,873,5.00,0.00
食同堂,873,0.00,0.00
原果U站,873,2.50,0.00
曲仙,873,7.50,0.00
皇巢纪（KINESTJER）,873,2.50,0.00
杏林优选,873,12.50,0.00
轻可丽,873,12.50,0.00
东方颐养,873,2.50,0.00
蒲公英,874,2.56,0.00
貢天府,874,2.56,0.00
理想,874,2.56,0.00
和记润元,874,2.56,0.00
MAEHUE,874,0.00,0.00
九翼天龙,874,5.13,0.00
甜睡,874,0.00,0.00
慈诺,874,2.56,0.00
春和荟,874,5.13,50.00
挪威小鱼（Nordic naturlas）,875,0.00,0.00
微生慧,875,2.63,0.00
白云山星群（Baiyunshanxingqun）,875,5.26,0.00
宫庭九尊堂（GONGTINGJIUZUNTANG）,875,0.00,0.00
海王优品,875,13.16,0.00
健高素,875,10.53,25.00
倍诺德,875,5.26,0.00
ABKW,875,5.26,0.00
绿瘦（LVSHOU）,876,0.00,0.00
鲜蓉,876,2.70,0.00
京都,876,8.11,0.00
漳小棘,876,0.00,0.00
鹊和堂（quehetang）,876,8.11,33.33
妙爱堂,876,0.00,0.00
默小吉,876,2.70,0.00
嫣虞堂,876,2.70,100.00
国珍,877,0.00,0.00
古渡保和堂,877,11.11,0.00
无（AUFU）,877,13.89,0.00
Oppuland,877,0.00,0.00
艾益,877,0.00,0.00
农家,877,0.00,0.00
星鲨,878,0.00,0.00
珮夫人,878,0.00,0.00
香粉缘,878,5.71,0.00
燕福元,878,0.00,0.00
果色茶乡,878,5.71,0.00
宋家沟,878,20.00,0.00
良医时珍,878,5.71,0.00
宏怀堂,878,5.71,0.00
Hin Sang,878,11.43,0.00
辅舒良,879,8.82,0.00
新光,879,14.71,0.00
环球宝贝,879,0.00,0.00
心宝,879,8.82,0.00
松草堂,879,0.00,0.00
黄金酷芭,879,2.94,0.00
贵胶堂,879,2.94,0.00
健五位,879,0.00,0.00
灵壹禾,879,0.00,0.00
健贝说,879,2.94,0.00
玖王金樽,879,0.00,0.00
古谯御膳,879,5.88,0.00
九多堂,879,2.94,0.00
小蓝星球,879,8.82,66.67
艼灵,879,2.94,0.00
邈泽堂,879,17.65,0.00
金诺贝婴,880,0.00,0.00
顶济堂,880,6.06,50.00
邹润安,880,3.03,0.00
永效,880,12.12,0.00
艾多美（ADM）,880,30.30,0.00
Vitavea,880,0.00,0.00
世医芳堂,880,0.00,0.00
仲燕堂,880,3.03,0.00
北方阳光,880,0.00,0.00
OLIOSEPTIL,880,3.03,0.00
衍生,881,6.25,0.00
感性时刻（SEMO）,881,12.50,0.00
草本元素,881,3.13,0.00
正大天晴,881,9.38,33.33
华佗拾遗,881,6.25,100.00
五福,881,6.25,0.00
葵花小博士,881,6.25,0.00
本草飞扬,881,3.13,0.00
FINE,882,0.00,0.00
雅力斯（YALISI）,882,0.00,0.00
千泉,882,6.45,0.00
葵花药业,882,12.90,0.00
神奇,882,6.45,0.00
佳思敏（Nature's Way）,882,0.00,0.00
天然博士,882,3.23,0.00
早康,882,3.23,0.00
左匹克隆,882,0.00,0.00
梦岭南,882,9.68,0.00
岷农人,882,0.00,0.00
纤元力,882,29.03,33.33
HEALTHY CARE,882,0.00,0.00
楼隐上,882,3.23,0.00
福格森,883,0.00,0.00
蒲公英,883,10.00,33.33
沁人缘,883,6.67,0.00
甄选拾味,883,6.67,0.00
素儿美滋,883,0.00,0.00
庆余堂,883,3.33,0.00
LIFE EXTENSION,883,0.00,0.00
颂知颜,883,3.33,0.00
福熙源（FuXiYuan）,884,3.45,0.00
Insubalance,884,0.00,0.00
德国汉堡 金氏药厂,884,0.00,0.00
巴比兔,884,3.45,0.00
JLP,884,41.38,8.33
蕴青堂,884,0.00,0.00
药都扁鹊堂,884,0.00,0.00
茯仁青,884,6.90,0.00
成铭健源,884,0.00,0.00
芬百林,884,3.45,0.00
善有加,885,10.71,0.00
皇菴堂,885,0.00,0.00
羚医生,885,3.57,0.00
富硒康,885,10.71,0.00
协和花,885,3.57,0.00
福寿康宁,885,10.71,0.00
立适康,885,0.00,0.00
固源草,885,14.29,0.00
Mitoq,886,3.70,0.00
伊美堂,886,0.00,0.00
益食膳,886,0.00,0.00
秘古颜（miguyan）,886,3.70,0.00
澳美製藥,886,22.22,0.00
SKINIX,886,7.41,0.00
覃怀地,886,25.93,0.00
古养关,886,0.00,0.00
微买堂,886,11.11,0.00
立爱,887,15.38,0.00
威士雅,887,0.00,0.00
蜀中,887,7.69,0.00
绿森林,887,0.00,0.00
国药集团 天目湖药业,887,0.00,0.00
natAmour,887,3.85,0.00
仲云堂,887,0.00,0.00
乐了（indie pure）,887,0.00,0.00
元气达人,887,7.69,0.00
MAMA MUJER,887,3.85,0.00
彩桃,887,0.00,0.00
百祺堂,887,7.69,0.00
卓正儿康,887,30.77,25.00
世宴,887,0.00,0.00
鑫源,887,0.00,0.00
冠峰,888,4.00,0.00
保龄宝（baolingbao）,888,12.00,0.00
健都,888,16.00,25.00
伊可新,888,0.00,0.00
索恩（Thorne）,888,0.00,0.00
从仁堂,888,4.00,0.00
Unichi,888,0.00,0.00
施儿佳（SHELCA）,888,0.00,0.00
五味集,888,8.00,0.00
乌元康,888,0.00,0.00
GENEX FORMULAS,888,0.00,0.00
千龙源,888,0.00,0.00
美济方,888,0.00,0.00
李时珍,888,48.00,16.67
香港药房,888,8.00,0.00
温元记,888,36.00,11.11
同祈堂,888,8.00,0.00
钙尔奇（Caltrate）,889,0.00,0.00
森永（Morinaga）,889,4.17,0.00
放鹤洲,889,12.50,0.00
联邦制药,889,4.17,0.00
花城,889,0.00,0.00
戈宝红麻,889,16.67,0.00
协和京品,889,8.33,0.00
布漫生物,889,4.17,0.00
国药药材,889,0.00,0.00
鑫慷恩,889,4.17,0.00
大时泰,889,12.50,0.00
